event_id,event_name,market,start_date,end_date,event_type,detected_by,result
1,2007 GFC Peak,US Equity,2007-08-01,2007-10-09,rotation,Lambda-F,DETECTED
2,2011 Eurozone Crisis,Germany,2011-07-01,2011-11-30,contagion,Lambda-F + Correlation,DETECTED
3,2011 Eurozone Crisis,UK,2011-07-01,2011-11-30,contagion,Lambda-F + Correlation,DETECTED
4,2014-2016 Oil Bust,Commodities,2014-07-01,2016-02-29,sector_rotation,Lambda-F,DETECTED
5,Q4 2018 Fed Panic,US Equity,2018-10-01,2018-12-31,synchronized_selloff,Correlation,DETECTED
6,Q4 2018 Fed Panic,UK,2018-10-01,2018-12-31,synchronized_selloff,Lambda-F,DETECTED
7,Q4 2018 Fed Panic,Germany,2018-10-01,2018-12-31,synchronized_selloff,Lambda-F,DETECTED
8,Q4 2018 Fed Panic,Commodities,2018-10-01,2018-12-31,rotation,Lambda-F,DETECTED
9,Q4 2018 Fed Panic,Gold,2018-10-01,2018-12-31,rotation,Lambda-F,DETECTED
10,WTI Negative,Commodities,2020-04-01,2020-04-30,extreme_stress,Lambda-F,DETECTED
11,April 2021 Crypto Top,Crypto,2021-03-15,2021-04-14,rotation,Lambda-F,DETECTED
12,Nov 2021 Crypto Top,Crypto,2021-10-10,2021-11-10,rotation,Lambda-F,DETECTED
13,Gold  Breakout,Gold,2020-07-01,2020-08-07,rotation,Lambda-F,DETECTED
14,Ukraine Commodity Shock,Commodities,2022-02-01,2022-03-31,geopolitical,Lambda-F,DETECTED
15,2022 Bear Market,US Equity,2022-01-01,2022-06-30,rotation,Lambda-F,DETECTED
16,UK Mini-budget Crisis,UK,2022-09-01,2022-10-31,fiscal_shock,Correlation,DETECTED
17,Germany Energy Crisis,Germany,2022-08-01,2022-10-31,supply_shock,Correlation,DETECTED
18,March 2024 Crypto Top,Crypto,2024-02-15,2024-03-14,rotation,Lambda-F,DETECTED
19,Dot-Com Crash,US Equity,2000-03-01,2000-10-09,concentration,Lambda-F,DETECTED
BS1,COVID Crash,All,2020-02-15,2020-03-23,black_swan,None,EXCLUDED (correct)
BS2,Terra/Luna Collapse,Crypto,2022-05-01,2022-05-15,black_swan,None,EXCLUDED (correct)
BS3,3AC Collapse,Crypto,2022-06-15,2022-07-15,black_swan,None,EXCLUDED (correct)
BS4,FTX Collapse,Crypto,2022-11-01,2022-11-15,black_swan,None,EXCLUDED (correct)
